Name,Price,Provider,Review,Rating,Link,Wifi,Breakfast,Parking,Restaurant,StreetAddress,ExtendedAddress,Locality,Latitude,Longitude
Karma Boutique Hotel, 3363,Booking.com,30,5,https://www.tripadvisor.com/Hotel_-g293890-d12548952--Karma_Boutique_Hotel-Kathmandu_Kathmandu_Valley_Bagmati_Zone_Central_Region.html,true,true,false,false,"Jyatha, Thamel", ,"Kathmandu 44600, ",27.7117549,85.3129755
Baber Mahal Vilas The Boutique Hotel, 10798,Expedia,44,5,https://www.tripadvisor.com/Hotel_-g293890-d11648304--Baber_Mahal_Vilas_The_Boutique_Hotel-Kathmandu_Kathmandu_Valley_Bagmati_Zone_Central_.html,true,false,true,false,Tanka Prasad Ghumti Sadak, ,"Kathmandu 44600, ",27.6966007,85.3281188
Ghangri Boutique Hotel, 4899,Agoda.com,81,5,https://www.tripadvisor.com/Hotel_-g293890-d7368975--Ghangri_Boutique_Hotel-Kathmandu_Kathmandu_Valley_Bagmati_Zone_Central_Region.html,true,false,true,false,Bouddha, ,"Kathmandu 44600, ",27.7119185,85.3128881
The Boudha Inn, 1981,Booking.com,64,4.5,https://www.tripadvisor.com/Hotel_-g293890-d10357187--The_Boudha_Inn-Kathmandu_Kathmandu_Valley_Bagmati_Zone_Central_Region.html,true,false,true,false,"Boudha-6, Ramhiti Chowk", ,"Kathmandu 44600, ",27.7264112,85.3637169
Hotel Gallery Nepal, 1444,Booking.com,65,4.5,https://www.tripadvisor.com/Hotel_-g293890-d11663322--Hotel_Gallery_Nepal-Kathmandu_Kathmandu_Valley_Bagmati_Zone_Central_Region.html,true,true,false,false,"Z-street, Thamel", ,"Kathmandu 44600, ",27.7167975,85.3095476
8848 Hostel, 582,Booking.com,29,5,https://www.tripadvisor.com/Hotel_-g293890-d13109989--8848_Hostel-Kathmandu_Kathmandu_Valley_Bagmati_Zone_Central_Region.html,true,false,false,false,Thahity, ,"Kathmandu 44600, ",27.7107696,85.3108752
Bodhi Boutique Hotel, 3112,Booking.com,34,5,https://www.tripadvisor.com/Hotel_-g293890-d13402441--Bodhi_Boutique_Hotel-Kathmandu_Kathmandu_Valley_Bagmati_Zone_Central_Region.html,true,false,false,false, ,"Chhusya Galli, Jyatha","Kathmandu 44600, ",27.711424,85.3131286
Hotel Yak & Yeti, 14397,Hotel Yak and Yeti,"1,326",4,https://www.tripadvisor.com/Hotel_-g293890-d305977--Hotel_Yak_Yeti-Kathmandu_Kathmandu_Valley_Bagmati_Zone_Central_Region.html,true,false,true,false,Durbar Marg, ,"Kathmandu 44600, ",27.7064565,85.3164261
Hotel Annapurna, 11264,Expedia,599,4,https://www.tripadvisor.com/Hotel_-g293890-d304701--Hotel_Annapurna-Kathmandu_Kathmandu_Valley_Bagmati_Zone_Central_Region.html,true,false,true,false, , ,"Kathmandu 14229, ",27.7172453,85.3239605
Acme Guest House,,Hotels.com,182,4,https://www.tripadvisor.com/Hotel_-g293890-d1196919--Acme_Guest_House-Kathmandu_Kathmandu_Valley_Bagmati_Zone_Central_Region.html,true,false,true,false,Thamel,PO Box 10506,"Kathmandu 10506, ",27.7153902,85.3123293
