	Name	Price	Provider	Review	Rating	Link	Wifi	Breakfast	Parking	Restaurant
133	Holyland Guest House	NPR 786	Expedia	117 reviews	4.5 of 5 bubbles	https://www.tripadvisor.com/Hotel_Review-g293890-d1108970-Reviews-Holyland_Guest_House-Kathmandu_Kathmandu_Valley_Bagmati_Zone_Central_Region.html	true	false	true	false
134	Royal Singi Hotel	NPR 6,667	Booking.com	241 reviews	3.5 of 5 bubbles	https://www.tripadvisor.com/Hotel_Review-g293890-d338262-Reviews-Royal_Singi_Hotel-Kathmandu_Kathmandu_Valley_Bagmati_Zone_Central_Region.html	true	false	true	false
135	3 Rooms by Pauline	NPR 5,996	Expedia	33 reviews	5 of 5 bubbles	https://www.tripadvisor.com/Hotel_Review-g293890-d8541794-Reviews-3_Rooms_by_Pauline-Kathmandu_Kathmandu_Valley_Bagmati_Zone_Central_Region.html	true	false	true	false
136	Hotel Pleasure Home	NPR 2,167	Booking.com	127 reviews	4 of 5 bubbles	https://www.tripadvisor.com/Hotel_Review-g293890-d1197559-Reviews-Hotel_Pleasure_Home-Kathmandu_Kathmandu_Valley_Bagmati_Zone_Central_Region.html	true	true	false	false
137	Hotel Potala	NPR 1,161	Booking.com	169 reviews	4 of 5 bubbles	https://www.tripadvisor.com/Hotel_Review-g293890-d1400667-Reviews-Hotel_Potala-Kathmandu_Kathmandu_Valley_Bagmati_Zone_Central_Region.html	true	false	false	true
138	Tibet Guest House	NPR 2,469	Expedia	278 reviews	3.5 of 5 bubbles	https://www.tripadvisor.com/Hotel_Review-g293890-d338266-Reviews-Tibet_Guest_House-Kathmandu_Kathmandu_Valley_Bagmati_Zone_Central_Region.html	true	false	true	false
139	Annapurna Guest House	NPR 1,429	TripAdvisor	153 reviews	4 of 5 bubbles	https://www.tripadvisor.com/Hotel_Review-g293890-d631435-Reviews-Annapurna_Guest_House-Kathmandu_Kathmandu_Valley_Bagmati_Zone_Central_Region.html	true	false	true	false
140	Hotel Harmika	NPR 5,369	Booking.com	53 reviews	4.5 of 5 bubbles	https://www.tripadvisor.com/Hotel_Review-g293890-d7813530-Reviews-Hotel_Harmika-Kathmandu_Kathmandu_Valley_Bagmati_Zone_Central_Region.html	true	false	true	false
141	Hotel Giramondo	NPR 1,884	Booking.com	20 reviews	5 of 5 bubbles	https://www.tripadvisor.com/Hotel_Review-g293890-d12991588-Reviews-Hotel_Giramondo-Kathmandu_Kathmandu_Valley_Bagmati_Zone_Central_Region.html	true	true	false	false
142	Hotel Vajra	NPR 1,978	Expedia	179 reviews	4 of 5 bubbles	https://www.tripadvisor.com/Hotel_Review-g293890-d338256-Reviews-Hotel_Vajra-Kathmandu_Kathmandu_Valley_Bagmati_Zone_Central_Region.html	true	false	true	false
