	Name	Price	Provider	Review	Rating	Wifi	Breakfast	Parking	Restaurant
32	Hotel Shanker	NPR 5,988	Expedia	1,307 reviews	4 of 5 bubbles	true	false	true	false
33	Trekkers' Home	NPR 711	Booking.com	761 reviews	4.5 of 5 bubbles	true	false	false	true
34	Hotel Friends Home	NPR 2,369	Booking.com	1,402 reviews	5 of 5 bubbles	true	true	false	false
35	Oasis Kathmandu Hotel	NPR 3,687	Booking.com	511 reviews	5 of 5 bubbles	true	false	true	false
36	Kantipur Temple House	NPR 5,988	Expedia	888 reviews	4.5 of 5 bubbles	true	false	false	true
37	Hotel Silver Home	NPR 1,055	Expedia	731 reviews	4.5 of 5 bubbles	true	true	false	false
38	Aryatara Kathmandu Hotel	NPR 3,393	Booking.com	638 reviews	5 of 5 bubbles	true	false	true	false
39	Kathmandu Guest House	NPR 4,976	Expedia	1,388 reviews	4 of 5 bubbles	true	true	false	false
40	Hyatt Regency Kathmandu	NPR 13,638	Hotels.com	1,780 reviews	4.5 of 5 bubbles	false	false	true	false
41	Kumari Boutique Hotel	NPR 4,562	Booking.com	104 reviews	5 of 5 bubbles	true	false	true	false
42	Hotel Family Home	NPR 1,027	Booking.com	617 reviews	4.5 of 5 bubbles	true	false	false	false
43	Shambaling Boutique Hotel	NPR 4,037	Expedia	523 reviews	5 of 5 bubbles	true	false	true	false
44	Kathmandu Eco Hotel	NPR 2,369	Booking.com	780 reviews	5 of 5 bubbles	true	true	false	false
45	Kathmandu Grand Hotel	NPR 3,264	Booking.com	889 reviews	4.5 of 5 bubbles	true	true	false	false
46	Hotel Ganesh Himal	NPR 2,997	Booking.com	684 reviews	4.5 of 5 bubbles	true	false	false	true
47	Hotel Mums Home Pvt Ltd	NPR 3,160	Expedia	827 reviews	5 of 5 bubbles	true	false	true	false
48	Hotel Osho Home	NPR 2,159	Booking.com	455 reviews	5 of 5 bubbles	true	true	false	false
49	Hotel Shambala	NPR 8,418	Expedia	494 reviews	4.5 of 5 bubbles	true	false	true	false
50	Dwarika's Hotel	NPR 26,184	Hotels.com	1,195 reviews	4.5 of 5 bubbles	false	false	false	true
51	The Sparkling Turtle Backpackers Hostel	NPR 1,231	Booking.com	234 reviews	4.5 of 5 bubbles	true	true	false	false
52	Thamel Eco Resort	NPR 3,072	Booking.com	394 reviews	4 of 5 bubbles	true	true	false	false
53	Hotel Mulberry	NPR 11,584	Expedia	104 reviews	5 of 5 bubbles	true	false	true	false
